Lidepla,Type,English,Russian,Source
suola ,kwo, (kwo) sole (underside of a shoe or foot),подошва,Italian
suomen ,," (kwel, kwo) Finnish; Finn; Finnish language",,
Suomi ,," Finland (also ""Finland"")",,
suon ,kwo, (kwo) sound,звук; suoni звучать; suoning звучание; fai nul suon не издать ни звука,
fai nul suon ,, utter no sound,,
suoni ,zwo," (zwo) sound, ring",,
suoning ,kwo, (kwo) sounding,,
sup ,kwo, (kwo) soup,суп,Thai
super ,," (kwel, komo, exklami, syao) super","супер, сверх (оценка чего-л. как первоклассного); superka первоклассная (крутая, клёвая) вещь",
superjen ,, superman,,
superstara ,, superstar,,
superka ,kwo," (kwo) something cool (super, excellent, first-rate)",,
superflue ,kwel, (kwel) superfluous,"излишний, ненужный, избыточный",
superi ,zwo," (zwo) surpass, exceed; overcome","превосходить, превзойти; одолевать, преодолевать, превозмогать",
"supermarket, market ",kwo, (kwo) supermarket,,
suplementa ,kwo," (kwo) supplement, appendix","добавление, дополнение; приложение",
suporti ,zwo, (zwo) support,"поддерживать (прям. и перен.); suporta поддержка; suporter сторонник, последователь",
suporta ,kwo," (kwo) supporting, support",,
suporter ,kwo, (kwo) supporter,,
suposi ,zwo," (zwo) suppose, assume",предполагать; suposa предположение; suposem (suposi-nem) - предположительно,
suposa ,kwo, (kwo) supposition,,
suposi-nem (suposem) ,komo, (komo) supposedly,,
sura ,kwo, (kwo) sura,сура,
surfas ,kwo, (kwo) surface,поверхность,French
surfi ,zwo, (zwo) surf,заниматься сёрфингом; surfing сёрфинг,
surfing ,kwo, (kwo) surfing,,
Suriname ,kwo, (kwo) Suriname,Суринам,
surma ,kwo," (kwo) antimony, stibium",сурьма,Uzbek
surprisa ,kwo, (kwo) surprise,"сюрприз, неожиданность; удивление; surprisi делать сюрприз; удивлять(ся), поражать(ся); surprisa-ney (surprise) удивительный, неожиданный; pa koywan-ney surprisa к чьему-л. удивлению",
pa koywan-ney surprisa,,– to smb's surprise,,
surprisi ,zwo, (zwo) surprise; be surprised,,
surprisa-ney (surprise) ,kwel, (kwel) surprising,,
sursa ,kwo, (kwo) source,источник (во всех смыслах),
surya ,kwo, (kwo) sun,солнце; suryaflor подсолнечник; suryadarba солнечный удар; suryavati загорать или сушить на солнце,
suryaflor ,kwo, (kwo) sunflower,,
suryaspota ,kwo, (kwo) sunspot,,
suryadarba ,kwo, (kwo) sunstroke,,
suryavati ,zwo, (zwo) sun,,Hindi
suryachu ,kwo, (kwo) sunrise,восход,
suryalwo ,kwo," (kwo) sunset, sundown",закат,
suskribi ,zwo, (zwo) subscribe (contract to receive; promise to contribute),"подписаться на (журнал, газету, рассылку); suskriba подписка",
suskriba ,zwo, (zwo) subscription,,
suspekti ,zwo, (zwo) suspect,подозревать; suspektishil подозрительный (недоверчивый); suspekta подозрение; suspekta-ney (suspekte) подозрительный (сомнительный); suspekta-nem (suspektem) подозрительно,
suspektishil ,kwel, (kwel) suspicious (distrustful),,
suspekta ,kwo, (kwo) suspicion,,
suspekta-ney (suspekte) ,kwel," (kwel) suspect, suspicious (arousing suspicion, dubious)",,
suspekta-nem (suspektem) ,komo, (komo) suspiciously,,
susu ,zwo, (zwo) rustle,"издавать шорох, шуршать; sususa шорох, шуршание",
sususa ,kwo," (kwo) rustle, rustling",,Mandarin
suti ,zwo," (zwo) sew, suture",шить; suting шитьё; suti-igla швейная игла; suter швец; портной; sutura шов,
suting ,kwo, (kwo) sewing,,
suti-igla ,kwo, (kwo) sewing needle,,
suter ,kwo," (kwo) sewer, tailor",,
sutura ,kwo, (kwo) seam; suture,,
suvenir ,kwo, (kwo) souvenir,сувенир,
suverene ,kwel, (kwel) souvereign (exercising power of rule),суверенный; suverenitaa суверенитет,
suverenitaa ,kwo, (kwo) souvereignity,,
suy ,," (inplas-kwel) his, her, its","универсальное притяжательное местоимение для 3 лица ед.числа: свой, его, её (вместо ta-ney, lu-ney, ela-ney, it-ney). Es auto, suy kolor es rude. – Это машина, её цвет красный. Suy jamile okos. – Его/её красивые глаза.",
Kada jen lubi suy kinda. ,, Everyone loves his/her child.,,
Svarye ,kwo, (kwo) Sweden,Швеция,
svenska ,," (kwel, kwo) Swedish (relating to ethnicity, language or country); Swede; the Swedish language",шведский; швед; шведский язык,
swa ,," (gramatika) myself, yourself etc. (common reflexive pronoun for all persons and numbers)","1) себя, себе (возвратное местоимение, единое для всех лиц и чисел): yu bu jan swa ты не знаешь себя; mah swa zwo se заставить себя сделать это; ela lubi swa она любит себя; shwo a swa сказать себе; me woshi-te swa я помылся; sta she swa чувствовать себя как дома;  2) префикс, выражающий направленность действия на себя: swa-luba себялюбие; swa-kontrola самоконтроль; swa-daisa самоотдача. Swa-ney - свой, собственный.",
Ela woshi swa. ,, She washes herself.,,
Ta lubi sol swa selfa. ,, He loves only himself.,,
Nu shwo a swa. ,, We say to ourselves.,,
(syao) self- (of oneself ,, cf. «selfa»),,
swa-luba ,, self-love,,
swa-kontrola ,, self-control,,
swaagat ,exklami, (exklami) welcome,"добро пожаловать! swaagati приветствовать, радушно принимать",
swaagati ,zwo, (zwo) welcome,,Hindi
swarga ,kwo," (kwo) heaven (cf. ""skay"")",небеса; swargalok рай,
swargalok ,kwo, (kwo) paradise,,Sanskrit
swasti ,exklami, (exklami) Good luck! May fortune favour you! Everything good to you!,,Sanskrit
swatberi ,kwo," (kwo) blackberry, bramble",ежевика,
swate ,kwel, (kwel) black,чёрный; swatebrova-ney чернобровый,
swatebrova-ney ,, dark-browed,,Arabic
swichi ,zwo, (zwo) switch (set a switch into another position),переключать; swiching переключение; swicher переключатель; swichi-on (тж.mah-on) включать; swichi-of (тж.mah-of) выключать,
swichi-on ,, switch on,,
swichi-of ,, switch off,,
swiching ,kwo, (kwo) switching,,
swicher ,kwo, (kwo) switch (device),,
swimala ,kwo," (kwo) fin, flipper Origin: swimi+ala",плавник,
swimi ,zwo, (zwo) swim,плавать; swiming плавание; swimer пловец; swimi-yen вплавь,
swiming ,kwo, (kwo) swimming,,
swimer ,kwo, (kwo) swimmer,,
swina ,kwo," (kwo) pig, swine","свинья; gin-swina, swinina свинья жен.рода; man-swina, swino боров, кабан; swinamasu свинина; yunswina поросёнок",
gin-swina (swinina) ,kwo," (kwo) sow, female pig",,
man-swina (swino) ,kwo," (kwo) boar, male pig",,
yunswina ,kwo," (kwo) piglet, young pig",,
swinamasu ,kwo, (kwo) pork,,
swingi ,zwo, (zwo) swing (move backward and forward; brandish; ride a swing),"качать(ся), раскачивать(ся), колебать(ся); swinging качание, раскачивание, колебание; swingika качели",
swinging ,kwo, (kwo) swinging,,
swingika ,kwo, (kwo) swing (hanging seat),,
swipa ,kwo," (kwo) lash, scourge, whip","плётка, хлыст; swipi хлестать, стегать",
swipi ,zwo," (zwo) lash, scourge, whip",,
syao ,kwel," (kwel) small, little (not large or big)",маленький,
syaodela ,kwo," (kwo) trifle (thing of little importance, also ""nomuhimka"")",syaodela пустяк (тж.nomuhimka),Mandarin
syao-worda ,," (grammar term) particle that is a part of word, hyphenated (e.g. -te, ek-)","(грамм. термин) частица (часть слова, пишется через дефис) (-te, ek-)",
syen ,kwo, (kwo) string (esp. of a musical instrument or of a bow ,струна; syentul струнный инструмент; arkusyen тетива,
syentul ,kwo, (kwo) stringed instrument,,
arkusyen ,kwo, (kwo) bow string,,Mandarin
ta ,," (inplas-kwo) he, she, it; him, her (common for animate ","Единое местоимение для одушевлённых объектов в 3 лице ед.ч.: он, она (также о животных)",
"Es may kota, ta nami Vladimir. ",," This is my cat, its name is Vladimir.",,Mandarin
tabahi ,zwo, (zwo) perish,"гибнуть, погибать; tabahisi губить",
tabahisi ,zwo," (zwo) ruin, destroy, kill",,Arabic
tabak ,kwo, (kwo) tobacco,табак; tabakdan кисет,
tabakdan ,kwo, (kwo) tobacco pouch,,Arabic
tabela ,kwo, (kwo) table (orderly arrangement of data),таблица; табель,Portuguese
tabla ,kwo, (kwo) table (item of furniture),стол; fantabla обеденный стол; skribitabla письменный стол; nochatabla ночной столик,
fantabla ,kwo, (kwo) dinner table,,
lignatabla ,kwo, (kwo) wooden table,,
skribitabla ,kwo, (kwo) writing-table,,
nochatabla ,kwo," (kwo) night table, nightstand, bedside table",,
tableta ,kwo," (kwo) tablet, pill",таблетка,
tabu ,kwo, (kwo) taboo,"табу; tabui, fai tabu табуировать",
"tabui, fai tabu ",zwo, (zwo) taboo,,
tabu-ney ,kwel," (kwel) taboo, forbidden",,Tongan
tabula ,kwo, (kwo) board (flat surface on which a game is played; flat surface used for writing or posting; name board); (name) tablet,"доска (школьная, шахматная); дощечка (с надписью) ",
nam-tabula ,, name plate,,
tabut ,kwo, (kwo) coffin,гроб; tabut-gari катафалк,
tabut-gari ,kwo," (kwo) hearse, bier",,Arabic
tachi ,zwo, (zwo) touch (also fig.),"трогать (прям., перен.); касаться (тж. темы в разговоре); tacha прикосновение, касание",
tacha ,kwo, (kwo) touch,,
tafeta ,kwo, (kwo) taffeta,тафта,Italian
"Tai, Tailand ",kwo, (kwo) Thailand,Тайланд,
taim ,kwo, (kwo) time,"время; hev taim fo zwo koysa — успевать сделать что-л.; es gro-taim fo samaji... давно пора понять...; afte shao taim вскоре, через недолгое время; pa hao taim вовремя; fon taim a taim время от времени. Taimike временный; taimikem временно; spas-taim-ney пространственно-временной",
hev taim fo zwo koysa ,, to have time to do smth,,
es taim fo go a dom ,, it’s time to go home,,
es gro-taim fo samaji... ,, it’s high time to understand...,,
afte shao taim ,," after little time, shortly",,
pa hao taim ,, in time; at the right/proper time,,
"nau-taim, wek-taim e lai-taim ",," the present tense, past tense and future tense",,
fon taim a taim ,, from time to time,,
taimike ,kwel, (kwel) temporary,,
taimikem ,komo, (komo) temporarily,,
taim-ney ,kwel, (kwel) temporal (of or relating to time),,
taimplan ,kwo," (kwo) timetable, schedule Origin: taim+plan",расписание; taimplan de leson расписание уроков; bus-taimplan автобусное расписание,
tren-taimplan ,, train schedule,,
taimplan de leson ,, timetable of lessons,,
taip ,kwo," (kwo) type, typeface, font",шрифт; grose taip жирный шрифт,
grose taip ,, thick/bold type,,
taipi ,zwo," (zwo) type, typewrite","печатать (на машинке, клавиатуре), набирать текст",
taiping ,kwo, (kwo) typing,,English
tak ,komo," (komo) so, in this way","так, таким образом: tak, bu kontrem - так, а не наоборот. Me opini tak - Я так думаю. Tak ke так что, так чтобы",
Me opini tak. ,," I think so. Tak, bu kontra-nem. ",,
tak ke ,, so that,,Russian
takta ,kwo," (kwo) 1) tact (diplomacy, savoir-faire)","такт, тактичность; такт (муз.)",
takta,,"2) bar (music); time, measure (music)","такт, тактичность; такт (муз.)",
taktika ,kwo, (kwo) tactics,тактика; taktike тактический,
taktike ,kwel, (kwel) tactical,,
tal ,," (inplas-kwel) such (like this, that etc.)","такой; kom tal как таковой;  in tal modus таким образом; in tal situasion treba akti tak... в таких ситуациях надо действовать так... tal kom... такой, как... Talgrad до такой степени",
Me bu pri tal joka. ,, I don't like such jokes.,,
Jiva es tal hi. ,, Such is life.,,
talgrad ,, to such an extent,,
talam ,kwo, (kwo) tray,поднос; pekitalam противень,
pekitalam ,kwo, (kwo) baking tray,,Indonesian
talenta ,kwo, (kwo) 1) talent (marked ability or skill); 1) talent (unit),1) талант; talenta-ney (talente) талантливый; 2) талант (древняя единица веса и денег),
"talenta-ney (talente), talentaful ",kwel," (kwel) talented, gifted",,
talia ,kwo, (kwo) waist,"талия, пояс",
talim ,kwo, (kwo) education,"образование; gaoley talim высшее образование; talimi учить, обучать, преподавать: talimi kindas учить детей; talimi musika a kindas преподавать детям музыку; talimer учитель; taliming обучение; talim-ney образованный; sintalim-ney необразованный, невежественный; sintalimnik невежа, тёмный человек",
minista de talim ,, minister of education,,
talimi ,zwo, (zwo) teach,,
talimi kindas ,, teach children,,
talimi musika a kindas ,, teach music to children,,
talimer ,kwo, (kwo) teacher,,
taliming ,kwo, (kwo) teaching,,
talim-ney ,kwel, (kwel) educated,,
sintalim-ney ,kwel," (kwel) uneducated, ignorant",,Arabic
talisman ,kwo," (kwo) talisman, amulet",талисман,
talka ,kwo, (kwo) talc,тальк,Persian
talyum ,kwo, (kwo) thallium (chem.),таллий (хим.),
tamani ,zwo," (zwo) wish (bid, express wishes for ",пожелать (кому-либо что-либо): me tamani a yu fortuna я желаю тебе удачи; tamana пожелание,
me tamani a yu fortuna ,, I wish you good luck,,
tamana ,kwo, (kwo) wish(es),,
Zuy hao tamana! ,, Best wishes!,,Arabic
tambur ,kwo, (kwo) drum (percussive musical instrument),"барабан; tamburi, fai/baji tambur бить в барабан; tamburi bay finga on tabla барабанить пальцами по столу",
tamburi (fai/baji tambur) ,zwo, (zwo) drum,,
tamburi bay finga on tabla ,, drum one’s fingers on the table,,
tampon ,kwo, (kwo) tampon,тампон,Korean
tamra ,kwo, (kwo) date (sweet fruit),финик; suhtamra сушёные финики,
tamrapalma ,kwo, (kwo) date palm,,
suhtamra ,kwo, (kwo) dried dates,,Arabic
tamrin ,kwo, (kwo) exercise,"упражнение; tamrini (fai tamrin) упражнять(ся), тренировать(ся)",
tamrini (fai tamrin) ,zwo," (zwo) exercise, train, practice",,Arabic
tana ,kwo, (kwo) shelf,полка,Japanese
Tanganyika ,kwo, (kwo) Lake Tanganyika,Танганьика (озеро),
tange ,kwel," (kwel) narrow, tight","узкий; тесный; стеснённый, зажатый; tangitaa узость; стеснённость, теснота; tangi сужать(ся); tangifi (fa-tange) сужаться; tangisi (mah-tange) сузить, суживать; tangisi okos щуриться",
tangitaa ,kwo," (kwo) narrowness, tightness",,
tangifi (fa-tange) ,zwo, (zwo) get narrower,,
tangisi (mah-tange) ,zwo," (zwo) narrow, contract",,
tangisi okos ,," screw up one’s eyes, squint",,Hindi
tangli ,zwo," (zwo) tangle, snarl","спутать(ся), запутать(ся); tanglika спутанный клубок или узел",
tanglika ,kwo," (kwo) tangle (confused, intertwined mass)",,
tango ,kwo, (kwo) tango,танго,
tanike ,kwel," (kwel) tiny, wee","очень маленький, крошечный, малейший; tanikem очень мало, чуть-чуть; bu tanikem ничуть, нисколько, нимало; tanika крошка, чуточка, капля",
tanika ,kwo, (kwo) a tiny bit,,
tanikem ,komo, (komo) a tiny bit,,
bu tanikem ,komo," (komo) not in the least, not at all, not a bit",,Hindi
tanka ,kwo, (kwo) 1) tank (armoured vehicle),"1) танк; 2) бак (ёмкость для жидкостей, резервуар); bensin-tanka бензобак",
tanka,,2) tank (container for liquids),"1) танк; 2) бак (ёмкость для жидкостей, резервуар); bensin-tanka бензобак",
bensin-tanka ,kwo, (kwo) petrol tank,,
Tansania ,kwo, (kwo) Tanzania,Танзания,
tantal ,kwo, (kwo) tantalum (chem.),тантал (хим.),
tanto ,," (inplas-kwanto) so much, so many, thus much, so (to such an extent)","столько, настолько, так; столь: tanto kwanto treba – столько, сколько надо; es tanto muhim - это так важно; tanto kway kom posible так быстро, как возможно; tanto ke me jan - насколько я знаю;  bu tanto… kom – не столько... cколько.",
tanto kwanto treba ,, as much as needed,,
tanto ke me jan ,, as far as I know,,
Bu gai gun tanto. ,, One shouldn't work so much.,,
Es tanto muhim. ,, It's so important.,,
tanto... kom ,, as (much)...as,,
tanto kway kom posible ,, as quickly as possible,,
bu tanto…kom ,, not so much…as,,
tapa ,kwo," (kwo) spigot, tap, plug, stopper","затычка, пробка; tapi затыкать (затычкой)",
tapi ,zwo," (zwo) plug, gag",,Turkish
tapis ,kwo, (kwo) carpet,ковёр,
tara ,kwo, (kwo) tyre,шина; infli tara накачать шину,
infli tara ,, inflate (pump up) a tyre,,Arabic
taraf ,kwo, (kwo) side,"сторона (тж. в споре, противостоянии); fon taraf de urba со стороны города; baktaraf задняя/оборотная сторона; me es pa yur taraf я на вашей стороне; pa un taraf... pa otre taraf с одной стороны... с другой стороны; go a taraf отойти в сторону; pa hir-ney taraf de riva по сю сторону реки; gratuli ta fon may taraf поздравь его от меня; ambi taraf konsenti обе стороны согласны",
pa un taraf... pa otre taraf ,, on the one hand... on the other hand,,
go a taraf ,, move aside,,
pa hir-ney taraf de riva ,, on this side of the river,,
Gratuli ta fon may taraf. ,, Give him my congratulations.,,
ambi taraf konsenti ,, both sides (parties) agree,,
baktaraf ,kwo, (kwo) backside,,Arabic
taratori ,zwo," (zwo) jabber, gabble, chatter, rattle","тараторить, трещать, стрекотать",Russian
tarde ,kwel," (kwel) late, tardy","поздний; es yo muy tarde уже очень поздно; til tarde nocha до поздней ночи. Tardem es pyu hao kem neva – Лучше поздно, чем никогда. tarditaa задержка, опоздание; tardi, tardefai опаздывать, запаздывать",
es yo muy tarde ,, it’s very late already,,
til tarde nocha ,, till late at night,,
tardem es pyu hao kem neva ,, better late than never,,
tarditaa ,kwo," (kwo) lateness, tardiness; delay, late arrival",,
"tardi, tardefai ",zwo, (zwo) be late Ant.: rane,,
tarif ,kwo," (kwo) tariff, rate","тариф; такса, расценка",Arabic
tasa ,kwo, (kwo) cup (for tea or coffee),"чашка (для чая, кофе); pi ba un tasa chay! — выпейте чашку чая! ",
Pi ba un tasa chay! ,, Drink a cup of tea!,,Arabic
taska ,kwo, (kwo) task,"задача; задание; es mushkile taska, bat nu treba resolvi it - это трудная задача, но нам надо решить её; betaski koywan bay koysa задать/поручить кому-л. что-л.",
taska fo domgunsa ,, a task for the homework,,
betaski ,zwo," (zwo) charge, commission",,
betaski koywan bay koysa ,, charge smb with smth,,
tasma ,kwo," (kwo) lace, tape, braid","шнурок, ремешок, тесьма; tasmi зашнуровывать; обвязывать тесьмой",
tasmi (fai) butas ,, lace up one’s boots,,Hindi
Tasman-ney mar ,kwo, (kwo) Tasman Sea,Тасманово море,
tatu ,kwo, (kwo) tattoo (on skin),татуировка; tatui татуировать; tatuing татуировка (действие),
tatui ,zwo, (zwo) tattoo,,
tatuing ,kwo, (kwo) tattooing,,
tau ,zwo," (zwo) thaw, melt",таять,German
tausian ,zwo," (zwo) surrender, give up, capitulate","сдаваться, капитулировать",Mandarin
tautologia ,kwo, (kwo) tautology,тавтология,
tavan ,kwo, (kwo) ceiling,потолок,Turkish
taverna ,kwo, (kwo) tavern,"таверна, кабак",
tawa ,kwo, (kwo) tower,башня,Japanese
taxi ,kwo, (kwo) taxi,такси,Arabic
tay ,kwo, (kwo) necktie,галстук,Swahili
tayar ,kwel, (kwel) ready,"готовый. Ob yu es tayar fo go? Ты готов идти? jenley bu es tayar fo tanto revolusion-ney transforma человечество не готово к столь революционному преображению; tayar klaida готовая одежда; tayartaa готовность; tayari готовить(ся), приготовлять(ся); tayari swa, fa-tayari готовиться; tayaring приготовление, подготовка; tayari bavul собирать чемодан; tayari swa fo safara собираться в путешествие; tayari kama стелить постель",
Ob yu es tayar fo go? ,, Are you ready to go?,,
Deyfan es tayar. ,, The dinner is ready.,,
tayartaa ,kwo," (kwo) readiness, preparedness",,
tayari ,zwo, (zwo) prepare (tr./intr.),,
tayari bavul ,, pack a suitcase,,
tayari kama ,, make the bed,,
"fa-tayari, tayari swa ",zwo," (zwo) make oneself ready, get ready, prepare (for smth ",,
tayari swa fo safara ,, get ready for a trip,,
tayaring ,kwo," (kwo) preparing, preparation",,Persian
te ,, (gramatika) past tense marker,"название буквы ""T t""",
Me bu jan-te om to. ,, I didn't know about that.,,
te ,, the name of the letter T t,"название буквы ""T t""",
teatra ,kwo, (kwo) theatre,театр,
tedi ,zwo," (zwo) bore, tire, weary","надоедать: se tedi-te me это мне надоело; me fa-tedi por weiti мне надоело ждать; tedi-she нудный, надоедающий; tedishil надоедливый; tedinik назойливый, надоедливый человек",
se tedi me ,, it bores me,,
fa-tedi ,zwo," (zwo) get bored, be bored",,
tedi-she ,kwel," (kwel) boring, tedious",,
tegla ,kwo," (kwo) tile, tiling",черепица,Danish
Tehran ,kwo, (kwo) Tehran,Тегеран,
teip ,kwo," (kwo) tape (adhesive, magnetic, telegraph) See also: banda","лента (магнитофонная, телеграфная)",
teklif ,kwo," (kwo) ceremoniousness, primness, formality","церемонность, деланность, чинность, формальность; sin teklif - без церемоний; teklifi церемониться, вести себя официально; noteklif-nem фамильярно, по-свойски, запанибрата. Bye teklifi! - Чувствуйте себя как дома! Bu gai teklifi om sey kanalya. - Не надо церемониться с этим негодяем.",
sin teklif ,, without ceremony,,
teklifi ,zwo, (zwo) behave formally,,
Bye teklifi! ,, Make yourself at home!,,
Bu gai teklifi om sey kanalya. ,, One should deal shortly with this scoundrel.,,
noteklif-nem ,komo," (komo) in a familiar manner, with familiarity",,Turkish
teknetyum ,kwo, (kwo) technetium (chem.),технеций,
teknika ,kwo, (kwo) technics; technique,техника; teknike технический,
teknike ,kwel, (kwel) technical,,
teknologia ,kwo, (kwo) technology,технология; teknologike технологический,
teknologike ,kwel, (kwel) technological,,
tel ,kwo, (kwo) wire,провод; проволока; spikatel колючая проволока; sintel-ney беспроводной,
spikatel ,kwo, (kwo) barbed wire,,
sintel-ney ,kwel, (kwel) wireless (not having any wires),,Turkish
telefon ,kwo," (kwo) telephone, phone",телефон; telefoni звонить (по телефону) ,Malay
telefoni ,zwo," (zwo) telephone, phone",,
telegraf ,kwo, (kwo) telegraph,телеграф (вид связи); telegrafguan телеграф (учреждение); telegrafi телеграфировать,
telegraf ,kwo, (kwo) telegraph,телеграф (вид связи); telegrafguan телеграф (учреждение); telegrafi телеграфировать,
telegrafi ,zwo, (zwo) telegraph,,
telegrafguan ,kwo, (kwo) telegraph office,,
telegrama ,kwo," (kwo) telegram, wire",телеграмма,
teleskop ,kwo, (kwo) telescope,телескоп,
television ,kwo, (kwo) television (broadcasting system) Shortening: TV,телевидение (сокращённо TV),
televisor ,kwo, (kwo) television set Shortening: TV,телевизор (сокращённо TV),
telur ,kwo, (kwo) tellurium (chem.),теллур (хим.),
tem ,, (gramatika) (in comparisons),"тем (в сравнениях): tem pyu ke... тем более, что…; se es tem pyu surprisi-she ke… это тем более удивительно, что… Kem…tem чем… тем: kem pyu lao, tem pyu stupide чем старше, тем глупее.",
kem pyu…tem pyu ,, the more...the more,,
"Kem pyu lao, tem pyu stupide. ",," The older, the sillier.",,
"Kem pyu, tem pyu hao. ",," The more, the better.",,
Ela bu lai ku? Tem pyu hao. ,, She is not coming? So much the better.,,
Es tem pyu surprisi-she ke ta hev mani. ,, It’s all the more surprising that he/she has money.,,Russian
tema ,kwo," (kwo) theme, topic, subject",тема; temi om... речь идёт о,Greek
temperatura ,kwo, (kwo) temperature,температура,
temti ,zwo," (zwo) tempt, entice","искушать, вводить в искушение, прельщать, соблазнять; temta искушение, соблазн; bu dukti nu inu temta не введи нас во искушение; temti-she соблазнительный",
temti-she ,kwel," (kwel) tempting, alluring, seductive",,
temta ,kwo, (kwo) temptation,,
bu dukti nu inu temta ,, lead us not into temptation,,
tendi ,zwo," (zwo) tend (have tendency, be inclined)","иметь тенденцию (к чему-л.); клониться, склоняться (к чему-л.); tenda тенденция",
tenda ,kwo, (kwo) tendency,,
tendon ,kwo," (kwo) tendon, sinew",сухожилие,
teni ,zwo, (zwo) hold,"держать; fa-teni pa koysa держаться за что-л.; en-teni начать держать(ся), ухватиться; teni-dai протянуть (давая)",
Lu stan al teni brancha. ,, He stood holding a branch.,,
Lu stan al fa-teni pa brancha. ,, He stood holding on by a branch.,,
Fa-teni ba! ,, Hold on tight!,,
teni-dai ,, hold (smth) out (to smb),,
en-teni ,zwo, (zwo) take hold of,,
tenis ,kwo, (kwo) tennis,теннис,
tensi ,zwo," (zwo) tense, tighten, strain, stretch","напрягать(ся), натягивать(ся); tensa напряжение; tensa-ney (tense) напряжённый, натянутый; тугой",
tensa ,kwo," (kwo) tension, strain",,
tensa-ney (tense) ,kwel," (kwel) tense, tight",,
tensi-ney (tensen) ,kwel, (kwel) strained,,
tenta ,kwo, (kwo) tent,палатка; тент; шатёр; stavi tenta поставить палатку,Latin
stavi tenta ,, put up a tent,,
teologia ,kwo, (kwo) theology,теология; teologier теолог,
teologier ,kwo, (kwo) theologian,,
teoria ,kwo, (kwo) theory,теория,Greek
terasa ,kwo, (kwo) terrace,терраса,Spanish
terbyum ,kwo, (kwo) terbium (chem.),тербий (хим.),
terible ,kwo," (kwo) terrible Syn.: dashat-ney, foba-ney","ужасный, грозный, кошмарный; невыносимый, чудовищный",
teritoria ,kwo, (kwo) territory,территория,Latvian
termin ,kwo, (kwo) term (a word having a particular meaning),термин,Armenian
termit ,kwo, (kwo) termite,термит,
teror ,kwo, (kwo) terror (violence ,террор; terorisi терроризировать; terorista террорист,
terorisi ,zwo, (zwo) terrorize,,
terorista ,kwo, (kwo) terrorist,,
teryer ,kwo, (kwo) terrier (dog),терьер,
tesa ,kwo," (kwo) thesis (also in the meaning ""dissertation"")","тезис, положение; диссертация",
testa ,kwo, (kwo) test (trial; quiz),"тест; testi испытывать, тестировать",
testi ,zwo, (zwo) test,,
testamenta ,kwo," (kwo) testament, last will",завещание; testamenti завещать (оставлять после смерти),
testamenti ,zwo," (zwo) bequeath, leave, will",,
testikla ,kwo, (kwo) testicle,"яичко, семенная железа",
tetrarka ,kwo, (kwo) tetrarch,тетрарх; tetrarkia тетрархия,
tetrarkia ,kwo, (kwo) tetrarchy,,
texi ,zwo, (zwo) weave See also: plexi,ткать; texer ткач; texing ткание; texitura ткань; текстура; teximashina ткацкий станок,
texer ,kwo, (kwo) weaver,,
texing ,kwo, (kwo) weaving,,
texitura ,kwo," (kwo) tissue, texture (cf. ""histo"")",,
teximashina ,kwo, (kwo) loom,,
texta ,kwo, (kwo) text,текст,
tfu ,exklami, (exklami) ptooey,тьфу! (междометие),Arabic
ti ,, (gramatika) optional marker of a noun group; optional first element of the construction ti...na,"опциональный маркер группы существительного; опциональный первый элемент в обороте ti...na. Kontra monta-flanka, blan por snega, ti flai-she faula fa-vidi. - На фоне белого от снега горного склона видны летящие птицы. Me bu yao diskusi ti yu shwo na kwesta. — Я не хочу обсуждать вопрос, о котором ты говоришь.",
In skay gao ti blan badal floti. ,, In the high sky white clouds float.,,
Me kwesti lu om ti lu jivi na planeta. ,, I asked him about the planet on which he lives.,,
Me bu yao diskusi ti yu shwo na kwesta. ,, I don’t want to discuss the question that you mention.,,
tia ,kwo, (kwo) 1) aunt (the sister of one's father or mother),тётя (родственница; детское слово для взрослой женщины),
tia,,"2) the way a child addresses or names an adult woman: lady, madam",тётя (родственница; детское слово для взрослой женщины),
tia-docha ,kwo, (kwo) first cousin (aunt's daughter),двоюродная сестра (дочь тёти),
Tian Shan ,kwo, (kwo) Tian Shan,Тянь-Шань,
tia-son ,kwo, (kwo) first cousin (aunt's son),двоюродный брат (сын тёти),
tifus ,kwo, (kwo) typhus,тиф,
tigra ,kwo, (kwo) tiger,тигр,
tigro ,kwo, (kwo) male tiger,,
tigrina ,kwo, (kwo) tigress,,
yuntigra ,kwo, (kwo) tiger cub,,
tik ,kwo, (kwo) tic,"тик; tiki дёргаться, судорожно сокращаться; ta ek-tiki wanga он дёрнул щекой",
tiki ,zwo, (zwo) tic,,
tikli ,zwo, (zwo) tickle,щекотать; tikla щекотка,
tikla ,kwo, (kwo) tickle,,
tiktaki ,zwo, (zwo) tick (emit recurring clicking sounds),тикать; tiktaking тиканье,
tiktaking ,kwo, (kwo) ticking,,
til ,konekti," (konekti) till, until","До, вплоть до: til nau – до сих пор; til aksham! до вечера! Fon kapa til pedas - с головы до ног. til ke… до тех пор пока… Til nove mita! До новых встреч! Til manya! До завтра!",
fon kapa til pedas ,, from head to foot,,
Til aksham! ,, Till the evening!,,
Me bu jan-te se til nau. ,, I didn't know it until now.,,
tim ,kwo, (kwo) team (a group organized to work or play together),"команда (группа людей, объединенных общим делом или занятием), коллектив, экипаж",
timbra ,kwo, (kwo) timbre,тембр,
timide ,kwel," (kwel) timid, bashful, shy","робкий, застенчивый; timidem робко;  timidefai стесняться, жаться, вести себя робко",
