UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
republikan,républicain (adj. & N),republican,,,,
reputasiòn,réputation,reputation,,,,
"res, resad",repos,rest,,,,
resànt,refrain,,,,,
resaria,aire de repos,,,,,
resi,de repos (adj.),rest-,,,,
residià,jour de repos,rest day,,,,
residòm,maison de repos,convalescent home,,,,
resignad,résignation,resignation,resignación,"Resignation, Verzicht","покорность, отказ",rassegnazione
resignen,résigné,,,,,
resigno (sia -),se résigner,,,,,
resiudivo,se réhabituer,,,,,
resiudizo,réhabituer,,,,,
reskrivo,récrire,,,,,
reso,reposer (se),rest (to),"descansar, reposarse","ausruhen, sich erholen","отдыхать, покоиться",riposarsi
rest,"reste, monnaie (qu'on rend)","rest, remainder",resto,Rest (m),"остаток, остальное, сдача",resto
restalo,"réinstaller, réimplanter (industrie)",,,,,
restan,restant,remaining,,,,
restaurad,"restauration (tableau), réhabilitation (bâtiment)",,,,,
restauro,"restaurer (tableau, etc…)",,,,,
restauror,"restaurateur (tableau, etc…), réhabiliter (bâtiment)",,,,,
resto,rester (susbsister),remain (to),,,,
restorad,restauration (hôtelle-rie),,,,,
restoria,restaurant,restaurant,restaurante,Gasthaus (n),ресторан,ristorante
restoro,restaurer (nourrir),,,,,
restoror,restaurateur (auber-giste),,,,,
restruad,reconstruction,,,,,
restruo,"reconstruire, rebâtir, reconstituer",,,,,
resultad,"résultat, issue",result,resultado,"Ergebnis, Resultat",результат,risultato
resulto,résulter,result (to),,,,
resumad,résumé,summary,,,,
resumo,résumer,sum up (to),resumir,zusammenfassen,резюмировать,riassumere
resurse,ressources,resources,,,,
retàl,récit,"account, relation","relato, narración",Erzählung,рассказ,"racconto, narrazione"
retalad,narration,,,,,
retalo,raconter,tell (to),"contar, relatar",erzählen,рассказывать,"raccontare, narrare"
"retalo storije, fable",affabuler,,,,,
retalor,"conteur, narrateur",storyteller,,,,
reuma,rhumatisme,rheumatism,"reumatismo, reuma","Rheuma, Rheumatismus",ревматизм,reumatismo
reumati,rhumatismal,rheumatic,,,,
reusdavad,réédition,,,,,
reusdavo,rééditer,,,,,
reussputo,régurgiter,,,,,
reusvenad,répétition (faits),,,,,
reusveno,"se répéter, se reproduire",,,,,
revaltad,réévaluation,,,,,
revalto,réévaluer,,,,,
revendor,revendeur,dealer (secondhand),,,,
reveno,revenir (venir à nouveau),come again (to),volver (venir de nuevo),wiederkommen,возвращаться,venire di nuovo
revido,redevenir,,,,,
revìz,revue (magazine),"review, journal",revista,Zeitschrift,журнал,rivista
revizad,révision,revision,,,,
revizo,"revoir, réviser","see again, revise","revisar, ver de nuevo","wiedersehen, revidieren",увидеть снова,rivedere
revolusiòn,révolution,revolution,,,,
revolusioni,révolutionnaire (adj.),revolutionary (adj.),,,,
revolusiono,révolutionner,,,,,
revolusionor,révolutionnaire (N),revolutionary (N),,,,
revolvar,révolver,revolver,,,,
revos,"encore, à nouveau",again,nuevo (de),wieder,"опять, снова",nuovo (di -)
rezèrv,réserve (gen.),reserve,,,,
rezervad,réservation,booking,,,,
rezerven,réservé (place…),,,,,
rezervia,réserve (territoire),reservation (area),,,,
rezervo,réserver,"reserve, book (to)",reserver,"reservieren, buchen","резервировать, заказывать",riservare
rezidèns,résidence,residence,,,,
rezin,résine,resin,,,,
rezitad,récitation,,,,,
rezitàl,récital,recital,,,,
rezìto,"réciter (leçon, prière)",,,,,
rezitor,récitant,,,,,
rib,côte (os),rib,costilla,Rippe,ребро,costola
ribes,groseille,"currant (red, white -)",,,,
ribesar,groseiller,,,,,
ribivelùt,velours côtelé,"corduroy, cord",,,,
ric,riche (adj. & N),"rich, wealthy",rico,reich,богатый,ricco
ricad,"richesse, fortune","wealth, riches",riqueza,Reichtum (m),богатство,ricchezza
ricigresi,luxuriant,,,,,
ricigresid,luxuriance,,,,,
ricim,richement,,,,,
ricivad,enrichissement (argent),,,,,
ricivo,s'enrichir (argent),,,,,
rif,récif,reef,,,,
"rifel, pl. rifle",carabine,,,,,
rig,raide,"stiff, rigid","rígido, tieso","steif, starr","жёсткий, тугой",rigido
rigad,"raideur, rigidité (physique)",stiffness,,,,
rigi,rigide,rigid,,,,
rigid,rigidité (fig.),rigidity,,,,
rigim,rigidement,,,,,
rigos,rigoureux,,,,,
rigosad,rigueur,,,,,
rij,ruisseau,brook,arroyo,Bach,ручей,ruscello
rikad,ricanement,,,,,
"rikel, pl. -kle",ride,,,,,
riklo brove,froncer (les sourcils),,,,,
"riklo, vido riklen","rider, se rider",,,,,
riko,ricaner,,,,,
rim,rime,rhyme,,,,
rimen,courroie,strap,correa,Riemen,ремень,"cinghia, correggia"
rimo,rimer,rhyme (to),,,,
ring,"anneau, bague",ring,"anillo, sortija",Ring (m),кольцо,anello
ringidìg,annulaire,,,,,
ris,"déchirure (résultat), accroc","tear, rip","rasgón, desgarro",Riß (m),"разрыв, надрыв, раздирание",strappo
risad,déchirure (action),"tearing, ripping",,,,
risidànt,défense (éléphant),,,,,
risk,risque,risk,riesgo,"Gefahr, Risiko",риск,rischio
riski,"risqué, hasardeux",,,,,
riskic,hasardeux,,,,,
risko,risquer,"risk, venture (to)",arriesgar,"riskieren, wagen",рисковать,rischiare
"riso, vido risen","déchirer, se déchirer",,,,,
rist,égratignure,scratch (a),,,,
risto,"érafler, égratigner",scratch (to),,,,
rit,rite,,,,,
riti,rituel,,,,,
ritim,rituellement,,,,,
ritma,"rythme, cadence",rhythm,ritmo,Rhythmus,ритм,ritmo
ritmati,rythmique,rhythmic,,,,
ritmen,rythmé,,,,,
ritmo,rythmer,,,,,
ritmu,"de rythme, rythmique",rhythmic,,,,
riv,rivière,river,rio,Fluß (m),река,fiume
rivàl,rival (gen.),rival,,,,
rivalad,rivalité,,,,,
rivalo,rivaliser,"rival, compete with",,,,
rivi,"de rivière, fluvial",,,,,
rivibèr,"bord de la rivière, berge",riverbank,orilla (del rio),Ufer (Fluß-),"речной берег, берег реки","argine, sponda di fiume"
Riviera,Riviera,,,,,
riz,riz (adj.),rice,arroz,Reis (m),рис,riso
rizagrizad,riziculture,,,,,
rizi,de riz,,,,,
rizia,rizière,,,,,
rizipold,rizière,,,,,
rob,vol (voleur),"theft, robbery",robo,Diebstahl (m),"кража, воровство","furto, ruberia"
roba,"robe (avocat, etc…)",,,,,
robicag,braconnage,,,,,
robicago,braconner,,,,,
robicagor,braconnier,,,,,
robipicor,pêcheur braconnier,,,,,
robo,voler (voleur),"steal, rob (to)",robar,"stehlen, rauben","красть, воровать",rubare
robor,voleur,thief,ladrón,Dieb (m),вор,ladro
robòt,robot,,,,,
robotik,robotique,,,,,
robotizad,robotisation,,,,,
robotizo,robotiser,,,,,
rod,racine,root,raíz,Wurzel (f),корень,radice
roga,seigle,rye,centeno,Roggen,рожь,segale
rogan,rongeur (adj. & N),,,,,
rogo,ronger,gnaw (to),,,,
rogu,de seigle,,,,,
roit,bruit (petit - ),noise (light -),,,,
roito,faire un petit bruit,,,,,
roj,rouge,red,rojo,rot,красный,rosso
roj mac,rougeur (med.),,,,,
rojad,"rougeur, rouge (N)",,,,,
rojbarbin,rouget (poisson),,,,,
rojfasi,rougeaud (adj.),,,,,
rojfasin,rougeaud (N),,,,,
rojic,rougeâtre,reddish,,,,
rojivad,rougissement,,,,,
rojivan,rougissant,,,,,
rojivo,rougir (devenir rouge),redden (to),enrojecer,"rot werden, sich röten",краснеть,"arrossarsi, arrossire"
rojprèst,rouge-gorge,robin (redbreast),,,,
rok,"rocher, roc, roche",rock,"roca, peña","Fels, Felsen","скала, утёс","roccia, rupe, masso"
roket,fusée,rocket,,,,
roki,"rocheux, rupestre",rocky,,,,
Rokibore,Rocheuses (montagnes),,,,,
rokigardin,rocaille (jardin),,,,,
rol,roue,wheel,rueda,Rad (n),колесо,ruota
rola,rôle,,,,,
rolad,roulade (sport),,,,,
rolan,roulant (qui roule),,,,,
rolèl,"rouleau (instrument, machine)",roller,,,,
rolen,rouleau (chose enroulée),roll,,,,
roli,"roulant (sur roues), à roues",,,,,
rolicùs,patin à roulettes,,,,,
rolidom,roulotte,,,,,
rolikortin,store,"blind, shade",,,,
rolikròn,jante,rim (wheel),,,,
rolisèl,fauteuil roulant,,,,,
rolisprit,"roulade, culbute",,,,,
rolisprito,"faire une roulade, la culbute",,,,,
rolit,roulette (petite roue),castor,,,,
rolo,rouler (trans & intr.),roll (to),rodar,rollen,"катиться, катить, раскатать",rotolare
rom,rhum,,,,,
Roman,Romain (adj. & N),Roman,,,,
romàn,roman (livre),novel,novela,Roman (m),роман,romanzo
romani,"de roman, romanesque (littérature)",,,,,
romàni skrivor,romancier,,,,,
romanic,"romanesque (caractère, etc…)",,,,,
romaniki,roman (adj. style & langue),,,,,
romanìst,romancier,,,,,
romàns,romance,romance,,,,
romantic,romantique,romantic,romántico,romantisch,"роман-тический, -тичный",romantico
romantisma,romantisme,romanticism,,,,
romb,losange,,,,,
ron,rond,round,redondo,rund,круглый,rotondo
ronad,rondeur (gen.),,,,,
roncad,ronflement,,,,,
ronco,ronfler,snore (to),,,,
rond,"ronde, tournée",,,,,
ronkrosia,rond-point,roundabout,sentido giratorio,Kreisverkehr,кольцевая (развязка),rotonda
ros,rosée,dew,,,,
rosigop,goutte de rosée,,,,,
rosk,roseau,reed,,,,
rost,rôti (N),roast,asado,Braten,"жаркое, жареное мясо",arrosto
rostad,rôtissage,,,,,
rosten,rôti (adj.),roast (adj),,,,
rosto,rôtir,roast (to),asar,"braten, rösten","жарить, пожарить",arrostire
roz,rose (N),rose,rosa,Rose (f),роза,rosa (sos.)
rozar,rosier,rose-bush,,,,
"rozarel, pl. rozarle",chapelet,,,,,
rozaria,roseraie,,,,,
rozi,"rose (adj. couleur), rosé (vin)",pink,rosa (color),rosa,розовый,rosa (agg.)
rozic,rosé (plutôt rose),,,,,
rozin,"raisin sec, de Corinthe",raisin,,,,
roʒ,roux (adj.),,,,,
roʒad,rousseur,,,,,
"roʒin, -a","roux, rousse (N)",,,,,
ru,"en arrière, vers l'arrière (adv.)",back,atràs,zurück,"назад, обратно",indietro
ru (so -),être de retour,,,,,
"ru-, rui",arrière (adj),,,,,
ru-dor,"porte de derrière, porte arrière",,,,,
ruablizad,rééducation (médicale),,,,,
ruaktad,réaction (personne),reaction,reacción,"Reaktion, Rückwirkung",реакция,reazione
ruaktivi,réactif,,,,,
ruaktivid,réactivité,,,,,
ruakto,réagir,react (to),reaccionar,"reagieren, zurückwirken",реагировать,reagire
ruatogo,"rattraper, rejoindre",,,,,
rubin,rubis,ruby,,,,
rubitad,réfutation,,,,,
rubìto,réfuter,,,,,
rubrik,rubrique,"column, rubric",,,,
rucàl,rappel (qqun),recall (calling back),,,,
rucepad,récupération,recovery (thing),,,,
rucepli,récupérable,,,,,
rucepo,"récupérer, recouvrer, regagner","recover, get back (to)",,,,
rucìj,reflet (lumière),reflection,,,,
rucijo,"refléter, réfléchir (lumière)",reflect (to),reflejar,"abspiegeln, zurückstrahlen",отражать,riflettere
ruco,"bouger, remuer","move, stir (to)","menear(se), mover(se)","rühren (sich -, um-)",шевелить(ся),muover(si) (un pò)
rud,juron,"curse, swearword","reniego, juramento",Fluch,"ругательство, ругань",bestemmia
rudato a,"dater de, remonter à",,,,,
rudavo,"rendre, restituer",,,,,
"rudavo, davo ru",redonner,,,,,
rudèb,arriéré (dette),,,,,
rudèk,pont-arrière,,,,,
rudèl,"inconvénient, désavantage",drawback,"desventaja, inconveniente",Nachteil,неудобство,svantaggio
rudeli,désavantageux,,,,,
rudelo,désavantager,,,,,
rudimènt,rudiment,,,,,
rudimenti,rudimentaire,,,,,
rudo,jurer (jurons),"swear, curse (to)",,,,
rufàl,"rechute, récidive",relapse,"recaída,reincidencia",Rückfall (m),"рецидив, возврат болезни","ricaduta, recidiva"
rufalo,"rechuter, récidiver","relapse, backslide(to)","recaer, reincidir",Rückfall bekommen (einen),"снова впадать, - заболевать",ricaduta (avere una)
rufalor,récidiviste,,,,,
rufàr,"recul (en véhicule), marche arrière",,,,,
rufarad,retour (en véhicule),,,,,
rufaro,reculer (en véhicule),"back up, back (to) (car)",,,,
rufelad,rancune,"grudge, resentment",,,,
rufelan,rancunier,,,,,
rufelo gon,"tenir rancune à, en vouloir à","resent, bear a grudge",,,,
ruflèv,vol de retour,return flight,,,,
ruflìg,refuge (action),,,,,
rufligan,réfugié (qui trouve un refuge),,,,,
rufligia,refuge (lieu),,,,,
rufligo,réfugier (se),,,,,
ruflùd,"marée descendante, reflux",,,,,
ruflùj,reflux,,,,,
ruflujo,refluer,,,,,
ruformo,"reformer, reconstituer",,,,,
rufrèm,frein-arrière,,,,,
rufremo,refréner,,,,,
rufrican,"rafraîchissant, réparateur (sommeil)",,,,,
rufrijo,refroidir,"cool down, get cold (to)",,,,
rug,"rugueux, rude, rigoureux (climat)","rough, rugged","rugoso, áspero","rauh, uneben","грубый, черновой","rugoso, ruvido"
rugad,"rudesse, rigueur (clim) rugosité",roughness,,,,
rugan,voyou,hooligan,,,,
rugano,regagner,,,,,
rugbij,rugby,,,,,
rugic,"plutôt rugueux, mal dégrossi",,,,,
rugim,"rudement, grossièrement, à la dure",,,,,
rugonad,résistance,resistance,,,,
rugonan,résistant (adj),,,,,
rugono,"résister à (ekun, ekwa)",resist (to),,,,
rugonor,résistant (N),resistance fighter,,,,
rugrès,récession,recession,,,,
rugresad,régression,regression,,,,
rugresi,régressif,,,,,
rugreso,régresser,,,,,
ruhonorad,réhabilitation (personne),,,,,
ruhonòro,réhabiliter (personne),,,,,
ruin,ruine,ruin,ruina,"Ruine, Trümmer","руина, развалина",rovina
ruino,"abîmer, ruiner (chose)","ruin, wreck (to)",arruinar,"niederreißen, ruinieren","разорять, портить",rovinare
ruisad,bruissement,,,,,
ruiso,bruire,,,,,
ruja,"fond, arrière-plan",back (of a room),,,,
rujèt,rejet,rejection,,,,
rujetad,rejet (action de rejeter),,,,,
rujeto,rejeter,reject (to),,,,
rujuto,"rejoindre, joindre à nouveau",rejoin (to),,,,
ruk,dos,back,espalda,Rücken (m),спина,"schiena, dorso"
"rukel, pl. -kle",dossier (siège),,,,,
ruki,"du dos, à dos, dorsal",,,,,
rukidivo,retomber en enfance,,,,,
rukidol,mal de dos,,,,,
rukinumar,dossard,,,,,
rukisak,sac à dos,"rucksack, backpack",mochila,Rucksack,рюкзак,zaino
"ruklàm,","réclamation, revendication",,,,,
ruklamad,"revendication, réclamation","claim, complaint",,,,
ruklamo,"revendiquer, réclamer",claim (to),"reclamar, reivindicar",beanspruchen,"требовать, претендовать","reclamare, rivendicare"
rukono,reconnaître (admettre),acknowledge (to),,,,
rukòp,rançon,ransom,rescate,"Rückkauf, Lösegeld",выкуп,riscatto
rukopad,rachat,,,,,
rukopi,"de rançon, de rachat (adj.)",,,,,
rukopli,rachetable,,,,,
rukopo,racheter,"redeem, ransom (to)",rescatar,loskaufen,выкупать,riscattare
rukotad,réduction,reduction,,,,
rukoten,"réduit, diminué (adj)",,,,,
rukoto,réduire,reduce (to),,,,
rul,poulie,pulley,,,,
rulacad,"relaxation, détente",relaxation,,,,
rulacen,détendu,relaxed,,,,
rulaco sia rulaco,"relâcher, relaxer (muscles), se relaxer, se relâcher",,,,,
rulanad,ralentissement,,,,,
rulano,ralentir (trans. & intr.),slow down (to),moderar la velocidad,langsamer fahren,замедлять(ся),rallentare
rulet,roulette (jeu),roulette,,,,
rulivad,redressement (écon.),,,,,
rulivo,redresser (économie),,,,,
ruluco,"refléter, réfléchir (lumière)",,,,,
rum,bruit,noise,ruido,"Lärm (m), Geräusch",шум,rumore
rumad,rumeur,rumour,rumor,Gerücht,"слух, молва, толки","voce, diceria"
"Rumàn, -a","Roumain, -e (N)",Rumanian (N),,,,
Rumani,"roumain, -e (adj.)",Rumanian (adj.),,,,
Rumania,Roumanie,Rumania,,,,
rumàrk,"remarque, réflexion, pl. propos",remark,"advertencia, observación",Bemerkung,"замечание, примечание","ossservazione,commento"
rumarko,faire une remarque,remark (to),,,,
rumedo,remédier à,,,,,
rumèn,souvenir,remembrance,recuerdo,"Erinnerung, Andenken","память, воспоминание","ricordo, rimembranza"
rumenad,mémoire,memory,memoria,Gedächtnis,память,memoria
rumeno,"se rappeler, se souve-nir",remember (to),"recordar, acordarse de",erinnern (sich),"помнить, вспоминать",ricordarsi
rumi,bruyant,,,,,
ruminad,réduction,,,,,
ruminli,réductible,,,,,
rumino,réduire,"reduce, cut (to)",reducir,"herabsetzen, reduzieren","уменьшить, уменьшать","ridurre, diminuire"
rumo,faire du bruit,noise (make a),ruido (hacer),"lärmen, laut sein",шуметь,rumore (far)
runemad,reprise,resumption,,,,
runovad,rénovation,renovation,,,,
runovo,rénover,renovate (to),,,,
rup,"derrière (pers.), cul",,,,,
rupa,chenille,caterpillar,,,,
rupacad,réconciliation,reconciliation,,,,
rupaco,"réconcilier, se -",reconcile (to),,,,
rupàin,repentir (le),repentance,,,,
rupaino,repentir (se),repent (to),,,,
rupajad,remboursement,repayment,reembolso,Rückzahlung,выплата,rimborso
rupajli,remboursable,,,,,
rupajo,rembourser,,,,,
rupàrt,"derrière, partie arrière, arrière-train",rear,parte trasera,Rückseite,"тыл, задняя сторона",parte posteriore
rupezen,rapiécé,,,,,
rupezo,rapiécer,"patch up, mend (to)",,,,
rupìct,reflet (image),,,,,
rupictad,réflexion (reflet),,,,,
rupicto vido rupicten,"refléter, réfléchir (se - ) (image)",,,,,
rupilicor,lèche-cul (vulg.),,,,,
ruplàg,riposte (frappe),,,,,
ruplago,riposter,retaliate (to),replicar,zurückschlagen 2,"возражать, отстреливаться",ribattere
ruplàn,"arrière-plan, fond",background,"fondo, segundo plano",Hintergrund,"задний план, фон",sfondo
ruplòj,regret,regret,pesar (2),Bedauern (n),сожаление,rimpianto
ruplojli,regrettable,,,,,
ruplojo,regretter,regret (to),"sentir, deplorar",bedauern,сожалеть,rimpiangere
rupresad,"répression, refoule-ment (sentiment)",suppression,,,,
rupresen,"refoulé, réprimé (sentiment)",,,,,
rupreso,"réprimer, refouler (sentiment)","suppress, repress (to)",,,,
ruprìz,récompense,reward,recompensa,Belohnung,награда,ricompensa
ruprizo,récompenser,reward (to),recompensar,belohnen,награждать,ricompensare
ruproso,"repousser, refouler","repel, repulse (to)",,,,
rur,"gouvernail, barre",rudder,,,,
ruregad,redressement (remettre droit),,,,,
rurego,redresser (remettre droit),rectify (to),,,,
ruror,timonier,helmsman,,,,
"Rus, Rusa",Russe (N),,,,,
rusendad,"renvoi, réexpédition",,,,,
rusensad,fait de revenir à soi,,,,,
rusenso,"reprendre conscience, revenir à soi",,,,,
Rusi,russe (adj. & lang.),Russian (adj.),,,,
Rusia,Russie,Russia,Rusia,Rußland,Россия,Russia
rusikuran,"rassurant, sécurisant",reassuring,,,,
rusikuro,rassurer,reassure (to),,,,
rusk,"à-coup, saccade, cahot","jerk, jolt",,,,
ruski,"cahotant, cahoteux, saccadé",,,,,
rusko,cahoter,,,,,
ruskùt,recul (arme),,,,,
ruspèk,respect,respect,respeto,"Achtung, Rücksicht",уважение,rispetto
ruspekad,rétrospective,,,,,
ruspekan,respectueux,respectful,,,,
ruspekèl,rétroviseur,mirror (rear view - ),,,,
ruspeki,respectueux,respective,,,,
ruspekim,respectueusement,,,,,
ruspekivi,rétrospectif,,,,,
ruspekivid,rétrospective,,,,,
ruspekli,respectable,respectable,respetable,achtbar,почтенный,rispettabile
ruspeklid,respectabilité,,,,,
ruspeko,respecter,respect (to),respetar,"achten, ehren, respektieren",уважать,rispettare
ruspijo su,rejaillir (liquide),,,,,
rustajen,arriéré (adj.),backward,,,,
rustiki,rustique,rustic,,,,
rustrigad,"austérité, rigueur (éco.)",,,,,
rustritad,restriction,restriction,,,,
rustrito,restreindre,restrict (to),,,,
rustrizad,"resserrement, restriction, austérité (éco.)",,,,,
rustrizo,resserrer,tighten (to),,,,
rusunad,"guérison (personne), redressement (éco.)",recovery (health),,,,
rusunivad,convalescence,,,,,
rusunivo,être en convalescence,,,,,
rusuno,"guérir (intr.), se remettre, se redresser (éco.)",recover (to),"sanar, curarse",gesund werden (wieder -),выздоравливать,guarire
rusuto,recoudre,,,,,
rut,rot,,,,,
rutegia,refuge (lieu),refuge,,,,
rutenad,rétention,"withholding, retention",,,,
rutenen,retenu (gen),,,,,
ruteni,"réservé, retenu (pers., attitude)",reserved (attitude),,,,
rutenid,"retenue, réserve (attitude)","reserve, restraint",,,,
ruteno sia ruteno,"retenir, se retenir",,,,,
rutican,"rassurant, sécurisant",,,,,
rutico,"rassurer, tranquilliser",,,,,
rutin,routine,routine,,,,
ruto,roter,,,,,
rutogo,"rejoindre, rattraper",,,,,
rutràj,"retraite (milit), recul","retreat, withdrawal",,,,
rutrajad,retrait,,,,,
rutrajo sia rutrajo,"retirer, se retirer",,,,,
ruv,crevasse (fissure),,,,,
ruvàd,recul (gen.),,,,,
ruvado,reculer (pers),"step back, move backward (to)",,,,
ruvàiz,voyage de retour,return journey,,,,
ruvango,"raccrocher (téléphone, etc…)",,,,,
ruvarmo ( sia),se réchauffer (personne),,,,,
ruvenad,retour,return,"vuelta, regreso",Rückkehr (m),возвращение,ritorno
ruveno,"revenir, rentrer",come back (to),volver,zurückkommen,"возвращаться, вернуться","tornare, ritornare"
ruvia,crevasse (glacier),,,,,
ruvin,ravin,,,,,
ruvirad,revirement,,,,,
ruvirtad,"inversion, renversement",reversal,,,,
ruvirti,inverse,reverse,,,,
ruvirtim,à l'envers,conversely,"inversa (a la), revés (al)",ungekehrt,"наоборот, обратно, вспять",inversamente
ruvirtim,inversement,conversely,"inversa (a la), revés (al)",ungekehrt,"наоборот, обратно, вспять",inversamente
ruvirto,"inverser, renverser",reverse (to),trastocar,umkehren,"превращать, обращать",invertire
ruvòk,"réponse, riposte",answer,"respuesta, contestación",Antwort (f),ответ,risposta
ruvokèl,répondeur,answering machine,,,,
ruvokli,responsable (adj.),responsible,responsable,verantwortlich,ответственный,responsabile
ruvoklid,responsabilité,reponsibility,responsibilidad,Verantwortung,ответственность,responsabilità
ruvoko,"répondre, riposter",answer (to),contestar,antworten,"отвечать, ответить",rispondere
ruvòlt,"révolte, rébellion",revolt,,,,
ruvoltan,révoltant,revolting,,,,
ruvolten,"révolté, rebelle (adj & N)",,,,,
ruvoltic,"insoumis (enfant, etc…)",,,,,
ruvoltij,insoumission,,,,,
ruvolto sia ruvolto,"révolter, (se -), se rebeller",,,,,
ruzàt,"verso, envers, dos, revers (vêtement)","back, reverse","revés, reverso",Rückseite 2,обратная сторона,"rovescio, verso"
ruzonad,retentissement,,,,,
ruzonan,retentissant (fig),,,,,
ruzono,"retentir, résonner (fig), avoir des répercussions",,,,,
ruʒ,rouille,rust,herrumbre,Rost (m),ржавчина,ruggine
ruʒen,rouillé,rusty,herrumbroso,rostig,ржавый,arrugginito
ruʒivad,résurrection,"resurrection, revival",,,,
ruʒivo,ressusciter (intr. & tr.),resurrect (to),resucitar,auferstehen,воскрешать(ся),risuscitare
ruʒo vido ruʒen,"rouiller, se rouiller",,,,,
sa,si (tellement),so,tan,so,так,così (+ agg.)
sab,savon,soap,jabòn,Seife (f),мыло,sapone
Sabadia,samedi,Saturday,sábado,Samstag (m),суббота,sabato
sabasòl,week-end,weekend,fin de semana,Wochenende,уик-энд,fine settimana
sabàt,sabbat,,,,,
sabel pl. sable,sabre,,,,,
sabi,"de savon, savonneux",,,,,
sabibubel,bulle de savon,,,,,
sabic,savonneux,,,,,
sablad,coup de sabre,,,,,
sabli,de sabre (adj.),,,,,
sabliglutor,avaleur de sabres,,,,,
sablo,sabrer,,,,,
sablor,sabreur,,,,,
sabo,savonner,,,,,
sabotad,sabotage,,,,,
saboto,saboter,,,,,
sabotor,saboteur,,,,,
sad,état (gen.),"state, condition",estado (modo de ser),"Stand, Zustand",состояние,"stato, condizione"
safir,saphir,sapphire,,,,
safràn,safran (N),,,,,
safrani,"safran (adj., couleur)",,,,,
sag,conte,tale,,,,
"sait, saita","saint, -e (adj. & N)",,,,,
saitad,sainteté,,,,,
saiten,sacré,sacred,,,,
saitia,sanctuaire,"sanctuary, shrine",,,,
saitigrab,sacrilège (N),,,,,
saitigrabi,sacrilège (adj.),sacrilegious,,,,
sak,"sac (grand, en toile)",sack,saco,Sack,"сак, мешок",sacco
sakarin,saccharine,saccharin,,,,
sakipipa,cornemuse,bagpipe,,,,
sakit,sachet,"bag, sachet","saquito, bolsita","Säckchen, Beutelchen","саше, пакетик, мешочек","bustina, sacchetto"
sakristan,sacristain,sexton,,,,
sakristia,sacristie,sacristy,,,,
sal,"salle, pièce",room,cuarto (habitaciòn),Zimmer (n),комната,stanza
salad,salade,salad,ensalada,Salat (m),салат,insalata
salàm,saucisson,"saussage, salami",,,,
sald,solde (le),balance (credit/debit),,,,
salm,saumon,salmon,,,,
salnitra,salpêtre,,,,,
salòn,salon (pièce),"lounge, saloon","salón, sala",Salon,"салон, гостиная","salotto, sala"
salt,sel,salt,sal,Salz (n),соль,sale
saltad,salaison,,,,,
saltar,salière,saltcellar,,,,
salten,salé (à qui on a ajouté du sel),salty,,,,
salti,"salé, salant",,,,,
saltid,salinité,,,,,
salto,saler,,,,,
salùt,"salut (N, action de saluer)",,,,,
salutad,salutation,greeting,saludo,Begrüssung,приветствие,saluto
saluto,saluer,"greet, salute (to)",saludar,"grüßen, begrüßen",приветствовать,salutare
sam,ensemble (adv.),together,juntos,zusammen,вместе,insieme
samad,"ensemble, lot, recueil",,,,,
samàj bun,tant mieux,so much the better,tanto mejor,besser (um so -),тем лучше,tanto meglio
samàj pej,tant pis,so much the worse,tanto peor,schlimmer (um so -),тем хуже,tanto peggio
samibib,recueil (livre),,,,,
samiprìz,forfait (prix),,,,,
samivad,rassemblement,gathering,,,,
samivo,"se rassembler, s'assembler","gather (to) (intrans.), come together",,,,
samòl maj te,d'autant plus que,,,,,
samòl min te,d'autant moins que,,,,,
"samòl, pl. samole",tant (de),,,,,
samp,exemple,,,,,
"sampel, pl. sample",échantillon,,,,,
samplar,exemplaire (N),specimen,,,,
samvigad,contexte,,,,,
san,"être (N), étant","being (human, etc…)",,,,
sand,sable,sand,arena,Sand (m),песок,sabbia
sandàl,sandale,sandal,,,,
sandi,"de sable, sableux",sandy,arenoso,sandig,"песчаный, песочный",sabbioso
sandibànc,banc de sable,,,,,
sandic,sablonneux,,,,,
sandigravia,sablière,,,,,
sandigrìn,grain de sable,,,,,
sandihorèl,sablier,,,,,
sandikàm,grès,,,,,
sandipapir,papier de verre,sandpaper,,,,
sandipek,sablé,,,,,
sandwìc,sandwich,sandwich,bocadillo,"belegtes Brot,Brötchen","бутерброд, сандвич",panino imbottito
sant,"chant, chanson",song,"canto, canción","Lied, Gesang",песня,"canto, canzone"
santi,"chanteur, de chant (adj.)",,,,,
santo,chanter,sing (to),cantar,singen,петь,cantare
"santor, santora","chanteur, -euse",,,,,
sap,sève,,,,,
sar,"sort, sortilège","spell, curse",,,,
sarad,sorcellerie,witchcraft,,,,
sardin,sardine,sardine,,,,
sark,cercueil,coffin,ataúd,Sarg (m),гроб,"bara, feretro"
"saran, sara (N)","sorcier, -ère",,,,,
sat,assez,enough,bastante,genug,"достаточно, довольно",abbastanza
satan,suffisant,sufficient,,,,
Satàn,Satan,Satan,,,,
satelìt,satellite (N),satellite,,,,
satelìti,satellite (adj.),,,,,
sati,rassasié,"full up, sated",sacio,satt,сытый,sazio
satid,satiété,"satiety, satiation",,,,
satijo,rassasier,,,,,
satim,suffisamment,,,,,
satin,satin,satin,,,,
satinic,satiné,,,,,
satir,satyre,,,,,
satìr,satire,,,,,
satiri,satirique,,,,,
satizad,satisfaction,satisfaction,satisfacción,Zufriedenheit,удовлетворение,soddisfazione
